CodCliente,Nombre,Apellido,Telefono,Email,Direccion,Localidad,Provincia,CP,Sexo,Edad
1,Carmen,Fernández,537208674,carmen.fernández841@gmail.com,Calle Principal 851,Sevastopol,Alaska,43383,Femenino,48
2,Concepción,Rodríguez,895493952,concepción.rodríguez149@yahoo.com,Calle Principal 311,Los Angeles,California,95566,Femenino,37
3,Antonio,López,504550642,antonio.lópez227@yahoo.com,Ruta Principal 450,Raccoon City,Illinois,36877,Masculino,26
4,Cristina,Sánchez,673179862,cristina.sánchez633@hotmail.com,Ruta Central 154,Raccoon City,Illinois,55371,Femenino,42
5,Javier,Sánchez,821082592,javier.sánchez375@hotmail.com,Bulevar Principal 972,Springfield,Illinois,52286,Masculino,67
6,Ángel,Díaz,273011189,ángel.díaz931@yahoo.com,Calle Secundaria 54,Raccoon City,Illinois,15758,Masculino,67
7,Lucía,Álvarez,506167820,lucía.álvarez891@gmail.com,Bulevar Secundaria 557,Springfield,Illinois,23821,Femenino,26
8,Ana,Sánchez,290283907,ana.sánchez107@gmail.com,Ruta Nueva 946,Palo Alto,California,65513,Femenino,70
9,Rosa,Ruiz,557103763,rosa.ruiz230@gmail.com,Avenida Nueva 39,Palo Alto,California,28475,Femenino,68
10,Pablo,Rodríguez,613927265,pablo.rodríguez344@hotmail.com,Bulevar Secundaria 832,Los Angeles,California,74708,Masculino,70
11,Carmen,González,292961422,carmen.gonzález760@gmail.com,Ruta Central 35,Scranton,Pennsylvania,33785,Femenino,38
12,Mónica,Moreno,471920776,mónica.moreno282@gmail.com,Ruta Vieja 426,Capital City,Illinois,64884,Femenino,28
13,Pablo,García,650699521,pablo.garcía568@yahoo.com,Avenida Principal 28,Scranton,Pennsylvania,19310,Masculino,63
14,Alejandro,González,957944444,alejandro.gonzález354@yahoo.com,Ruta Principal 182,Silver City,Illinois,88273,Masculino,23
15,Carmen,Martínez,166468991,carmen.martínez971@hotmail.com,Bulevar Secundaria 640,Sevastopol,Alaska,60913,Femenino,63
16,María,Fernández,694005953,maría.fernández517@yahoo.com,Avenida Vieja 316,Springfield,Illinois,33453,Femenino,39
17,Daniel,Jiménez,106530802,daniel.jiménez811@hotmail.com,Calle Principal 970,Gotham City,New Jersey,24185,Masculino,27
18,Laura,López,897392240,laura.lópez35@yahoo.com,Calle Secundaria 170,Los Angeles,California,26416,Femenino,23
19,David,Rodríguez,773570046,david.rodríguez826@hotmail.com,Bulevar Central 71,Raccoon City,Illinois,86297,Masculino,44
20,José,Fernández,199934432,josé.fernández647@gmail.com,Ruta Principal 592,Palo Alto,California,28568,Masculino,51
21,Miguel,Martínez,607205693,miguel.martínez302@gmail.com,Calle Principal 269,Sevastopol,Alaska,23334,Masculino,31
22,Patricia,García,638642509,patricia.garcía848@yahoo.com,Avenida Nueva 223,Silver City,Illinois,14894,Femenino,56
23,Patricia,Álvarez,995651728,patricia.álvarez986@gmail.com,Ruta Vieja 938,West City,Illinois,53624,Femenino,22
24,Patricia,García,799575110,patricia.garcía742@gmail.com,Avenida Secundaria 200,New York,New York,90560,Femenino,56
25,Ana,Díaz,704523042,ana.díaz194@gmail.com,Calle Nueva 676,Capital City,Illinois,73317,Femenino,28
26,Pilar,Martín,199902849,pilar.martín913@hotmail.com,Ruta Central 503,Los Angeles,California,39687,Femenino,63
27,Alejandro,Álvarez,550282846,alejandro.álvarez742@gmail.com,Avenida Vieja 376,Capital City,Illinois,76260,Masculino,30
28,Teresa,Sánchez,303689636,teresa.sánchez477@yahoo.com,Bulevar Central 726,Shelbyville,Illinois,65689,Femenino,69
29,María,Martín,695331510,maría.martín851@hotmail.com,Avenida Nueva 436,Shelbyville,Illinois,21155,Femenino,42
30,Isabel,Ruiz,424897279,isabel.ruiz839@gmail.com,Ruta Secundaria 74,West City,Illinois,30934,Femenino,48
